Response ID,Are you a professional software engineer?,Are you involved in open source software development efforts?,Software Development:Which of the following roles best describe your software engineering experience?,Software Testing:Which of the following roles best describe your software engineering experience?,Project Management:Which of the following roles best describe your software engineering experience?,Other:Which of the following roles best describe your software engineering experience?,Other:Which of the following roles best describe your software engineering experience?,How many years of experience do you have in software development/testing/project management (decimals OK)?,Please describe your English proficiency level?,What is your current country of residence?,"Automated debugging has been an active area of research. An automated debugging approach takes as input a crash or a test case failure and generates a ranked list of suspicious program locations that may contain the root cause of the crash/failure. In your opinion, how important is this piece of research?",Why do you think this research is unimportant or unwise?,"Mathematical specification (e.g., temporal logic, Z ) of a program:When you start debugging, are the following resources available at your disposal?","Textual specification of a program:When you start debugging, are the following resources available at your disposal?","One test case/scenario that causes a failure/crash:When you start debugging, are the following resources available at your disposal?","Multiple test cases/scenarios that cause a failure/crash:When you start debugging, are the following resources available at your disposal?","A set of successful test cases that do not cause any failure:When you start debugging, are the following resources available at your disposal?","A textual description of a defect (e.g., a bug report):When you start debugging, are the following resources available at your disposal?",Pinpoint buggy component:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,Pinpoint buggy class:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,Pinpoint buggy method:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,Pinpoint buggy basic block:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,Pinpoint buggy statement:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,"An automated debugging tool returns a ranked list of suspicious program locations (at your preferred granularity level) and one of them may contain the bug location. What is the minimum acceptable level before you consider the tool to successfully locate buggy code? E.g., if you only consider the tool to be successful only if a bug appears in the top 5 elements, please select ""Top 5"".","Other:An automated debugging tool returns a ranked list of suspicious program locations (at your preferred granularity level) and one of them may contain the bug location. What is the minimum acceptable level before you consider the tool to successfully locate buggy code? E.g., if you only consider the tool to be successful only if a bug appears in the top 5 elements, please select ""Top 5"".","How trustworthy an automated debugging tool must be before you will consider adoption? E.g., if you want the tool to successfully locate bugs (based on your success criterion defined in the previous question) at least 50% of the time, please select ""At least 50%"".","Other:How trustworthy an automated debugging tool must be before you will consider adoption? E.g., if you want the tool to successfully locate bugs (based on your success criterion defined in the previous question) at least 50% of the time, please select ""At least 50%"".",How scalable a trustworthy automated debugging tool must be before you will consider adoption? It should work at least for programs of size:,Other:How scalable a trustworthy automated debugging tool must be before you will consider adoption? It should work at least for programs of size:,"How efficient a trustworthy and scalable automated debugging tool must be before you will consider adoption? E.g., if you want the tool to produce results at most within 1 minute, select ""","Other:How efficient a trustworthy and scalable automated debugging tool must be before you will consider adoption? E.g., if you want the tool to produce results at most within 1 minute, select ""","Assume you have an efficient, scalable, and trustworthy automated debugging tool, will you adopt it?","Why won't you adopt an efficient, scalable, and trustworthy automated debugging tool?",An automated debugging tool must provide a rationale why some program locations are marked as suspicious.:How agreeable are you with the following statements:,"I will still adopt an efficient, scalable, and trustworthy automated debugging tool, even if it cannot provide rationales:How agreeable are you with the following statements:  ",An automated debugging tool must be integrated well to my favourite IDE.:How agreeable are you with the following statements:  ,"I will *still adopt* a an efficient, scalable, and trustworthy automated debugging tool, even if it is not integrated well to my favorite IDE. :How agreeable are you with the following statements:  ",Why the ability to provide rationales is very important in your decision to adopt an automated debugging tool?,Why integration to your favourite IDE is very important in your decision to adopt an automated debugging tool?,Do you have final suggestions/comments/opinions about automated debugging or this survey?
1,Yes,Yes,Software Development,,,,,6,Good,Russia,2,,Rarely,All the time,Sometimes,Rarely,Sometimes,All the time,1,,3,4,,3,,At least 20%,,1 - 1000 Lines of Code,,&lt; 30 minutes,,Yes,,Strongly Agree,Neutral,Strongly Agree,Neutral,,,
2,No,Yes,Software Development,Software Testing,Project Management,,,15,Very Good,Austria,2,,Never,All the time,Sometimes,Rarely,Rarely,Sometimes,,,3,4,,2,,At least 75%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,Yes,,Neutral,Disagree,Agree,Agree,"it must be better than a stacktrace, otherwise it's of no real use",,
3,Yes,Yes,Software Development,,,,,10,Very Good,Finland,2,,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,1,,,,,2,,At least 75%,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Agree,Agree,Disagree,Strongly Agree,,,
4,Yes,Yes,Software Development,,,,,5,Good,Brazil,2,,Sometimes,All the time,Rarely,Rarely,Rarely,Sometimes,,,,,5,2,,At least 75%,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Agree,Agree,Neutral,Neutral,,,
5,Yes,Yes,Software Development,Software Testing,Project Management,,,4,Good,Switzerland,2,,Never,Rarely,Sometimes,Sometimes,Sometimes,All the time,,,3,4,5,4,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 hour,,Yes,,Agree,Agree,Strongly Disagree,Strongly Agree,,,
6,Yes,Yes,Software Development,,,,,10,Very Good,Australia,2,,Never,Sometimes,All the time,Sometimes,All the time,All the time,,,3,,,2,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 1 hour,,Yes,,Agree,Neutral,Disagree,Agree,,,"I would be interested in running an automated debugging tool as part of continuous integration, so that rather than the test just failing, it gives a report on what the likely cause of the problem is."
7,Yes,Yes,Software Development,Software Testing,Project Management,,,15,Very Good,Germany,2,,All the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,2,3,,5,1,,At least 20%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Neutral,Agree,Neutral,,,
9,Yes,Yes,Software Development,Software Testing,,Other,Testing of Digital Content Creation,3,Very Good,United Kingdom,1,,Never,Never,All the time,Sometimes,Sometimes,Sometimes,,,,,,,,,,,,&lt; 1 minute,,Yes,,Agree,Agree,Strongly Agree,Disagree,,Testing is awkward and should be made as easy as possible. No integration means extra steps which means testing will be more cumbersome and hence less used.,"I'm testing content, not code, so my answers may not apply. I've tried adapting my answers best I can to the questions, hope it helps."
10,No,Yes,Software Development,,,,,3,Mediocre,China,1,,Rarely,Rarely,Sometimes,Sometimes,All the time,Sometimes,,,3,4,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Neutral,Agree,Disagree,Strongly Agree,,,
11,Yes,Yes,Software Development,,Project Management,,,7,Very Good,United States,3,"Because from the description this will provide little better than heuristics to automatically find ""code smells"".",Rarely,Rarely,All the time,Sometimes,Sometimes,All the time,,,,,,2,,At least 90%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Strongly Disagree,Agree,Neutral,"So that i can filter the results through my own knowledge and discard the points in the code which smell bad, but are correct and that way for a reason. If the criteria for success is the true bug in the top 5 90% of the time it needs to be very easy to identify the false positives and know when to abandon the tool.  Again i suspect that these tools will be little better than automatically applying heuristics.",,"The questions were very leading and the survey was clearly designed to get specific answers to some of the questions (tell us what a good tool is, why won't you use this tool?). I suggest you collaborate with some one in the social sciences that has expertise in constructing surveys that will get unbiased results.  I am over all highly skeptical and suspect that it is impossible to create an automated debugger that will save me time over all. It will probably work well in simple cases where it isn't needed and fall on its face and generate false positives in hard cases where it is actually needed.  I work primarily in python these days so my views are skewed to dynamically typed languages. Something like this will probably have better success in a strongly typed language like c/c++ but then you have access to very low level memory and the full complexity of c++.  Maybe this sort of thing is possible in java, but then i just don't care."
